Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.1: Broker1: VM #440 has been created in Source DC, Host #0
0.1: Broker1: VM #232 has been created in Source DC, Host #1
0.1: Broker1: VM #352 has been created in Source DC, Host #2
0.1: Broker1: VM #467 has been created in Source DC, Host #3
0.1: Broker1: VM #152 has been created in Source DC, Host #4
0.1: Broker1: VM #322 has been created in Source DC, Host #5
0.1: Broker1: VM #217 has been created in Source DC, Host #6
0.1: Broker1: VM #534 has been created in Source DC, Host #7
0.1: Broker1: VM #190 has been created in Source DC, Host #8
0.1: Broker1: VM #180 has been created in Source DC, Host #9
0.1: Broker1: VM #392 has been created in Source DC, Host #10
0.1: Broker1: VM #220 has been created in Source DC, Host #11
0.1: Broker1: VM #265 has been created in Source DC, Host #12
0.1: Broker1: VM #50 has been created in Source DC, Host #13
0.1: Broker1: VM #592 has been created in Source DC, Host #14
0.1: Broker1: VM #422 has been created in Source DC, Host #15
0.1: Broker1: VM #389 has been created in Source DC, Host #16
0.1: Broker1: VM #404 has been created in Source DC, Host #17
0.1: Broker1: VM #401 has been created in Source DC, Host #18
0.1: Broker1: VM #517 has been created in Source DC, Host #19
0.1: Broker1: VM #323 has been created in Source DC, Host #20
0.1: Broker1: VM #287 has been created in Source DC, Host #21
0.1: Broker1: VM #396 has been created in Source DC, Host #22
0.1: Broker1: VM #290 has been created in Source DC, Host #23
0.1: Broker1: VM #421 has been created in Source DC, Host #24
0.1: Broker1: VM #57 has been created in Source DC, Host #25
0.1: Broker1: VM #490 has been created in Source DC, Host #26
0.1: Broker1: VM #94 has been created in Source DC, Host #27
0.1: Broker1: VM #332 has been created in Source DC, Host #28
0.1: Broker1: VM #224 has been created in Source DC, Host #29
0.1: Broker1: VM #559 has been created in Source DC, Host #30
0.1: Broker1: VM #6 has been created in Source DC, Host #31
0.1: Broker1: VM #99 has been created in Source DC, Host #32
0.1: Broker1: VM #358 has been created in Source DC, Host #33
0.1: Broker1: VM #110 has been created in Source DC, Host #34
0.1: Broker1: VM #314 has been created in Source DC, Host #35
0.1: Broker1: VM #13 has been created in Source DC, Host #36
0.1: Broker1: VM #318 has been created in Source DC, Host #37
0.1: Broker1: VM #280 has been created in Source DC, Host #38
0.1: Broker1: VM #117 has been created in Source DC, Host #39
0.1: Broker1: VM #417 has been created in Source DC, Host #40
0.1: Broker1: VM #340 has been created in Source DC, Host #41
0.1: Broker1: VM #295 has been created in Source DC, Host #42
0.1: Broker1: VM #243 has been created in Source DC, Host #43
0.1: Broker1: VM #356 has been created in Source DC, Host #44
