Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.1: Broker1: VM #402 has been created in Source DC, Host #0
0.1: Broker1: VM #472 has been created in Source DC, Host #1
0.1: Broker1: VM #37 has been created in Source DC, Host #2
0.1: Broker1: VM #198 has been created in Source DC, Host #3
0.1: Broker1: VM #389 has been created in Source DC, Host #4
0.1: Broker1: VM #417 has been created in Source DC, Host #5
0.1: Broker1: VM #571 has been created in Source DC, Host #6
0.1: Broker1: VM #255 has been created in Source DC, Host #7
0.1: Broker1: VM #172 has been created in Source DC, Host #8
0.1: Broker1: VM #340 has been created in Source DC, Host #9
0.1: Broker1: VM #173 has been created in Source DC, Host #10
0.1: Broker1: VM #220 has been created in Source DC, Host #11
0.1: Broker1: VM #72 has been created in Source DC, Host #12
0.1: Broker1: VM #31 has been created in Source DC, Host #13
0.1: Broker1: VM #184 has been created in Source DC, Host #14
0.1: Broker1: VM #582 has been created in Source DC, Host #15
0.1: Broker1: VM #284 has been created in Source DC, Host #16
0.1: Broker1: VM #280 has been created in Source DC, Host #17
0.1: Broker1: VM #89 has been created in Source DC, Host #18
0.1: Broker1: VM #329 has been created in Source DC, Host #19
0.1: Broker1: VM #414 has been created in Source DC, Host #20
0.1: Broker1: VM #548 has been created in Source DC, Host #21
0.1: Broker1: VM #81 has been created in Source DC, Host #22
0.1: Broker1: VM #467 has been created in Source DC, Host #23
0.1: Broker1: VM #392 has been created in Source DC, Host #24
0.1: Broker1: VM #154 has been created in Source DC, Host #25
0.1: Broker1: VM #40 has been created in Source DC, Host #26
0.1: Broker1: VM #429 has been created in Source DC, Host #27
0.1: Broker1: VM #366 has been created in Source DC, Host #28
0.1: Broker1: VM #375 has been created in Source DC, Host #29
0.1: Broker1: VM #330 has been created in Source DC, Host #30
0.1: Broker1: VM #131 has been created in Source DC, Host #31
0.1: Broker1: VM #406 has been created in Source DC, Host #32
0.1: Broker1: VM #426 has been created in Source DC, Host #33
0.1: Broker1: VM #545 has been created in Source DC, Host #34
0.1: Broker1: VM #163 has been created in Source DC, Host #35
0.1: Broker1: VM #510 has been created in Source DC, Host #36
0.1: Broker1: VM #387 has been created in Source DC, Host #37
0.1: Broker1: VM #225 has been created in Source DC, Host #38
0.1: Broker1: VM #344 has been created in Source DC, Host #39
0.1: Broker1: VM #44 has been created in Source DC, Host #40
0.1: Broker1: VM #237 has been created in Source DC, Host #41
0.1: Broker1: VM #560 has been created in Source DC, Host #42
0.1: Broker1: VM #86 has been created in Source DC, Host #43
0.1: Broker1: VM #534 has been created in Source DC, Host #44
0.1: Broker1: VM #279 has been created in Source DC, Host #45
0.1: Broker1: VM #386 has been created in Source DC, Host #46
0.1: Broker1: VM #258 has been created in Source DC, Host #47
0.1: Broker1: VM #576 has been created in Source DC, Host #48
0.1: Broker1: VM #129 has been created in Source DC, Host #49
0.1: Broker1: VM #233 has been created in Source DC, Host #50
0.1: Broker1: VM #416 has been created in Source DC, Host #51
0.1: Broker1: VM #347 has been created in Source DC, Host #52
0.1: Broker1: VM #188 has been created in Source DC, Host #53
0.1: Broker1: VM #155 has been created in Source DC, Host #54
0.1: Broker1: VM #463 has been created in Source DC, Host #55
0.1: Broker1: VM #260 has been created in Source DC, Host #56
0.1: Broker1: VM #383 has been created in Source DC, Host #57
0.1: Broker1: VM #453 has been created in Source DC, Host #58
0.1: Broker1: VM #36 has been created in Source DC, Host #59
0.1: Broker1: VM #182 has been created in Source DC, Host #60
0.1: Broker1: VM #183 has been created in Source DC, Host #61
0.1: Broker1: VM #206 has been created in Source DC, Host #62
0.1: Broker1: VM #18 has been created in Source DC, Host #63
0.1: Broker1: VM #70 has been created in Source DC, Host #64
0.1: Broker1: VM #590 has been created in Source DC, Host #65
0.1: Broker1: VM #277 has been created in Source DC, Host #66
0.1: Broker1: VM #454 has been created in Source DC, Host #67
0.1: Broker1: VM #71 has been created in Source DC, Host #68
0.1: Broker1: VM #88 has been created in Source DC, Host #69
0.1: Broker1: VM #494 has been created in Source DC, Host #70
0.1: Broker1: VM #128 has been created in Source DC, Host #71
0.1: Broker1: VM #110 has been created in Source DC, Host #72
0.1: Broker1: VM #378 has been created in Source DC, Host #73
0.1: Broker1: VM #145 has been created in Source DC, Host #74
0.1: Broker1: VM #530 has been created in Source DC, Host #75
0.1: Broker1: VM #159 has been created in Source DC, Host #76
0.1: Broker1: VM #5 has been created in Source DC, Host #77
0.1: Broker1: VM #551 has been created in Source DC, Host #78
0.1: Broker1: VM #502 has been created in Source DC, Host #79
0.1: Broker1: VM #80 has been created in Source DC, Host #80
0.1: Broker1: VM #554 has been created in Source DC, Host #81
0.1: Broker1: VM #373 has been created in Source DC, Host #82
0.1: Broker1: VM #42 has been created in Source DC, Host #83
0.1: Broker1: VM #43 has been created in Source DC, Host #84
0.1: Broker1: VM #404 has been created in Source DC, Host #85
0.1: Broker1: VM #201 has been created in Source DC, Host #86
0.1: Broker1: VM #161 has been created in Source DC, Host #87
0.1: Broker1: VM #195 has been created in Source DC, Host #88
0.1: Broker1: VM #144 has been created in Source DC, Host #89
0.1: Broker1: VM #557 has been created in Source DC, Host #90
0.1: Broker1: VM #547 has been created in Source DC, Host #91
0.1: Broker1: VM #333 has been created in Source DC, Host #92
0.1: Broker1: VM #140 has been created in Source DC, Host #93
0.1: Broker1: VM #362 has been created in Source DC, Host #94
0.1: Broker1: VM #379 has been created in Source DC, Host #95
0.1: Broker1: VM #273 has been created in Source DC, Host #96
0.1: Broker1: VM #56 has been created in Source DC, Host #97
0.1: Broker1: VM #6 has been created in Source DC, Host #98
0.1: Broker1: VM #341 has been created in Source DC, Host #99
0.1: Broker1: VM #304 has been created in Source DC, Host #100
0.1: Broker1: VM #307 has been created in Source DC, Host #101
0.1: Broker1: VM #281 has been created in Source DC, Host #102
0.1: Broker1: VM #139 has been created in Source DC, Host #103
0.1: Broker1: VM #539 has been created in Source DC, Host #104
0.1: Broker1: VM #240 has been created in Source DC, Host #105
0.1: Broker1: VM #352 has been created in Source DC, Host #106
0.1: Broker1: VM #517 has been created in Source DC, Host #107
0.1: Broker1: VM #334 has been created in Source DC, Host #108
0.1: Broker1: VM #156 has been created in Source DC, Host #109
0.1: Broker1: VM #253 has been created in Source DC, Host #110
0.1: Broker1: VM #480 has been created in Source DC, Host #111
0.1: Broker1: VM #32 has been created in Source DC, Host #112
0.1: Broker1: VM #312 has been created in Source DC, Host #113
0.1: Broker1: VM #443 has been created in Source DC, Host #114
0.1: Broker1: VM #343 has been created in Source DC, Host #115
0.1: Broker1: VM #33 has been created in Source DC, Host #116
0.1: Broker1: VM #107 has been created in Source DC, Host #117
0.1: Broker1: VM #575 has been created in Source DC, Host #118
0.1: Broker1: VM #289 has been created in Source DC, Host #119
0.1: Broker1: VM #450 has been created in Source DC, Host #120
0.1: Broker1: VM #119 has been created in Source DC, Host #121
0.1: Broker1: VM #313 has been created in Source DC, Host #122
0.1: Broker1: VM #38 has been created in Source DC, Host #123
0.1: Broker1: VM #282 has been created in Source DC, Host #124
0.1: Broker1: VM #509 has been created in Source DC, Host #125
0.1: Broker1: VM #433 has been created in Source DC, Host #126
0.1: Broker1: VM #448 has been created in Source DC, Host #127
0.1: Broker1: VM #531 has been created in Source DC, Host #128
0.1: Broker1: VM #485 has been created in Source DC, Host #129
0.1: Broker1: VM #596 has been created in Source DC, Host #130
0.1: Broker1: VM #266 has been created in Source DC, Host #131
0.1: Broker1: VM #359 has been created in Source DC, Host #132
0.1: Broker1: VM #53 has been created in Source DC, Host #133
0.1: Broker1: VM #296 has been created in Source DC, Host #134
0.1: Broker1: VM #254 has been created in Source DC, Host #135
0.1: Broker1: VM #395 has been created in Source DC, Host #136
0.1: Broker1: VM #235 has been created in Source DC, Host #137
0.1: Broker1: VM #259 has been created in Source DC, Host #138
0.1: Broker1: VM #189 has been created in Source DC, Host #139
0.1: Broker1: VM #234 has been created in Source DC, Host #140
0.1: Broker1: VM #385 has been created in Source DC, Host #141
0.1: Broker1: VM #171 has been created in Source DC, Host #142
0.1: Broker1: VM #496 has been created in Source DC, Host #143
0.1: Broker1: VM #91 has been created in Source DC, Host #144
0.1: Broker1: VM #364 has been created in Source DC, Host #145
0.1: Broker1: VM #263 has been created in Source DC, Host #146
0.1: Broker1: VM #438 has been created in Source DC, Host #147
0.1: Broker1: VM #440 has been created in Source DC, Host #148
0.1: Broker1: VM #353 has been created in Source DC, Host #149
0.1: Broker1: VM #187 has been created in Source DC, Host #0
0.1: Broker1: VM #556 has been created in Source DC, Host #1
0.1: Broker1: VM #141 has been created in Source DC, Host #2
0.1: Broker1: VM #4 has been created in Source DC, Host #3
0.1: Broker1: VM #490 has been created in Source DC, Host #4
0.1: Broker1: VM #349 has been created in Source DC, Host #5
0.1: Broker1: VM #98 has been created in Source DC, Host #6
0.1: Broker1: VM #370 has been created in Source DC, Host #7
0.1: Broker1: VM #232 has been created in Source DC, Host #8
0.1: Broker1: VM #578 has been created in Source DC, Host #9
0.1: Broker1: VM #331 has been created in Source DC, Host #10
0.1: Broker1: VM #150 has been created in Source DC, Host #11
0.1: Broker1: VM #460 has been created in Source DC, Host #12
0.1: Broker1: VM #397 has been created in Source DC, Host #13
0.1: Broker1: VM #117 has been created in Source DC, Host #14
0.1: Broker1: VM #542 has been created in Source DC, Host #15
0.1: Broker1: VM #354 has been created in Source DC, Host #16
0.1: Broker1: VM #455 has been created in Source DC, Host #17
0.1: Broker1: VM #449 has been created in Source DC, Host #18
0.1: Broker1: VM #169 has been created in Source DC, Host #19
0.1: Broker1: VM #271 has been created in Source DC, Host #20
0.1: Broker1: VM #214 has been created in Source DC, Host #21
0.1: Broker1: VM #14 has been created in Source DC, Host #22
0.1: Broker1: VM #300 has been created in Source DC, Host #23
0.1: Broker1: VM #134 has been created in Source DC, Host #24
0.1: Broker1: VM #2 has been created in Source DC, Host #25
0.1: Broker1: VM #116 has been created in Source DC, Host #26
0.1: Broker1: VM #394 has been created in Source DC, Host #27
0.1: Broker1: VM #360 has been created in Source DC, Host #28
0.1: Broker1: VM #316 has been created in Source DC, Host #29
0.1: Broker1: VM #337 has been created in Source DC, Host #30
0.1: Broker1: VM #466 has been created in Source DC, Host #31
0.1: Broker1: VM #60 has been created in Source DC, Host #32
0.1: Broker1: VM #328 has been created in Source DC, Host #33
0.1: Broker1: VM #388 has been created in Source DC, Host #34
0.1: Broker1: VM #135 has been created in Source DC, Host #35
0.1: Broker1: VM #533 has been created in Source DC, Host #36
0.1: Broker1: VM #293 has been created in Source DC, Host #37
0.1: Broker1: VM #249 has been created in Source DC, Host #38
0.1: Broker1: VM #339 has been created in Source DC, Host #39
0.1: Broker1: VM #79 has been created in Source DC, Host #40
0.1: Broker1: VM #226 has been created in Source DC, Host #41
