Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.1: Broker1: VM #391 has been created in Source DC, Host #0
0.1: Broker1: VM #246 has been created in Source DC, Host #1
0.1: Broker1: VM #40 has been created in Source DC, Host #2
0.1: Broker1: VM #287 has been created in Source DC, Host #3
0.1: Broker1: VM #460 has been created in Source DC, Host #4
0.1: Broker1: VM #19 has been created in Source DC, Host #5
0.1: Broker1: VM #319 has been created in Source DC, Host #6
0.1: Broker1: VM #497 has been created in Source DC, Host #7
0.1: Broker1: VM #550 has been created in Source DC, Host #8
0.1: Broker1: VM #2 has been created in Source DC, Host #9
0.1: Broker1: VM #371 has been created in Source DC, Host #10
0.1: Broker1: VM #202 has been created in Source DC, Host #11
0.1: Broker1: VM #187 has been created in Source DC, Host #12
0.1: Broker1: VM #511 has been created in Source DC, Host #13
0.1: Broker1: VM #15 has been created in Source DC, Host #14
0.1: Broker1: VM #574 has been created in Source DC, Host #15
0.1: Broker1: VM #436 has been created in Source DC, Host #16
0.1: Broker1: VM #387 has been created in Source DC, Host #17
0.1: Broker1: VM #5 has been created in Source DC, Host #18
0.1: Broker1: VM #110 has been created in Source DC, Host #19
0.1: Broker1: VM #500 has been created in Source DC, Host #20
0.1: Broker1: VM #451 has been created in Source DC, Host #21
0.1: Broker1: VM #130 has been created in Source DC, Host #22
0.1: Broker1: VM #438 has been created in Source DC, Host #23
0.1: Broker1: VM #318 has been created in Source DC, Host #24
0.1: Broker1: VM #364 has been created in Source DC, Host #25
0.1: Broker1: VM #561 has been created in Source DC, Host #26
0.1: Broker1: VM #116 has been created in Source DC, Host #27
0.1: Broker1: VM #536 has been created in Source DC, Host #28
0.1: Broker1: VM #372 has been created in Source DC, Host #29
0.1: Broker1: VM #276 has been created in Source DC, Host #30
0.1: Broker1: VM #499 has been created in Source DC, Host #31
0.1: Broker1: VM #71 has been created in Source DC, Host #32
0.1: Broker1: VM #400 has been created in Source DC, Host #33
0.1: Broker1: VM #540 has been created in Source DC, Host #34
0.1: Broker1: VM #85 has been created in Source DC, Host #35
