Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.1: Broker1: VM #89 has been created in Source DC, Host #0
0.1: Broker1: VM #280 has been created in Source DC, Host #1
0.1: Broker1: VM #62 has been created in Source DC, Host #2
0.1: Broker1: VM #30 has been created in Source DC, Host #3
0.1: Broker1: VM #24 has been created in Source DC, Host #4
0.1: Broker1: VM #383 has been created in Source DC, Host #5
0.1: Broker1: VM #270 has been created in Source DC, Host #6
0.1: Broker1: VM #462 has been created in Source DC, Host #7
0.1: Broker1: VM #19 has been created in Source DC, Host #8
0.1: Broker1: VM #490 has been created in Source DC, Host #9
0.1: Broker1: VM #125 has been created in Source DC, Host #10
0.1: Broker1: VM #506 has been created in Source DC, Host #11
0.1: Broker1: VM #489 has been created in Source DC, Host #12
0.1: Broker1: VM #358 has been created in Source DC, Host #13
0.1: Broker1: VM #98 has been created in Source DC, Host #14
0.1: Broker1: VM #164 has been created in Source DC, Host #15
0.1: Broker1: VM #596 has been created in Source DC, Host #16
0.1: Broker1: VM #230 has been created in Source DC, Host #17
0.1: Broker1: VM #166 has been created in Source DC, Host #18
0.1: Broker1: VM #130 has been created in Source DC, Host #19
0.1: Broker1: VM #360 has been created in Source DC, Host #20
0.1: Broker1: VM #573 has been created in Source DC, Host #21
0.1: Broker1: VM #306 has been created in Source DC, Host #22
0.1: Broker1: VM #90 has been created in Source DC, Host #23
0.1: Broker1: VM #540 has been created in Source DC, Host #24
0.1: Broker1: VM #432 has been created in Source DC, Host #25
0.1: Broker1: VM #216 has been created in Source DC, Host #26
0.1: Broker1: VM #27 has been created in Source DC, Host #27
0.1: Broker1: VM #589 has been created in Source DC, Host #28
0.1: Broker1: VM #248 has been created in Source DC, Host #29
0.1: Broker1: VM #281 has been created in Source DC, Host #30
0.1: Broker1: VM #160 has been created in Source DC, Host #31
0.1: Broker1: VM #228 has been created in Source DC, Host #32
0.1: Broker1: VM #243 has been created in Source DC, Host #33
0.1: Broker1: VM #0 has been created in Source DC, Host #34
0.1: Broker1: VM #597 has been created in Source DC, Host #35
0.1: Broker1: VM #170 has been created in Source DC, Host #36
0.1: Broker1: VM #558 has been created in Source DC, Host #37
0.1: Broker1: VM #548 has been created in Source DC, Host #38
0.1: Broker1: VM #319 has been created in Source DC, Host #39
0.1: Broker1: VM #205 has been created in Source DC, Host #40
0.1: Broker1: VM #239 has been created in Source DC, Host #41
