Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.1: Broker1: VM #90 has been created in Source DC, Host #0
0.1: Broker1: VM #529 has been created in Source DC, Host #1
0.1: Broker1: VM #187 has been created in Source DC, Host #2
0.1: Broker1: VM #270 has been created in Source DC, Host #3
0.1: Broker1: VM #571 has been created in Source DC, Host #4
0.1: Broker1: VM #24 has been created in Source DC, Host #5
0.1: Broker1: VM #372 has been created in Source DC, Host #6
0.1: Broker1: VM #249 has been created in Source DC, Host #7
0.1: Broker1: VM #409 has been created in Source DC, Host #8
0.1: Broker1: VM #582 has been created in Source DC, Host #9
0.1: Broker1: VM #446 has been created in Source DC, Host #10
0.1: Broker1: VM #102 has been created in Source DC, Host #11
0.1: Broker1: VM #520 has been created in Source DC, Host #12
0.1: Broker1: VM #247 has been created in Source DC, Host #13
0.1: Broker1: VM #173 has been created in Source DC, Host #14
0.1: Broker1: VM #182 has been created in Source DC, Host #15
0.1: Broker1: VM #406 has been created in Source DC, Host #16
0.1: Broker1: VM #361 has been created in Source DC, Host #17
0.1: Broker1: VM #444 has been created in Source DC, Host #18
0.1: Broker1: VM #93 has been created in Source DC, Host #19
0.1: Broker1: VM #439 has been created in Source DC, Host #20
0.1: Broker1: VM #287 has been created in Source DC, Host #21
0.1: Broker1: VM #51 has been created in Source DC, Host #22
0.1: Broker1: VM #84 has been created in Source DC, Host #23
0.1: Broker1: VM #552 has been created in Source DC, Host #24
0.1: Broker1: VM #538 has been created in Source DC, Host #25
0.1: Broker1: VM #382 has been created in Source DC, Host #26
0.1: Broker1: VM #123 has been created in Source DC, Host #27
0.1: Broker1: VM #139 has been created in Source DC, Host #28
0.1: Broker1: VM #503 has been created in Source DC, Host #29
0.1: Broker1: VM #587 has been created in Source DC, Host #30
0.1: Broker1: VM #344 has been created in Source DC, Host #31
0.1: Broker1: VM #448 has been created in Source DC, Host #32
0.1: Broker1: VM #256 has been created in Source DC, Host #33
0.1: Broker1: VM #597 has been created in Source DC, Host #34
0.1: Broker1: VM #386 has been created in Source DC, Host #35
0.1: Broker1: VM #38 has been created in Source DC, Host #36
0.1: Broker1: VM #300 has been created in Source DC, Host #37
0.1: Broker1: VM #11 has been created in Source DC, Host #38
0.1: Broker1: VM #595 has been created in Source DC, Host #39
0.1: Broker1: VM #548 has been created in Source DC, Host #40
0.1: Broker1: VM #149 has been created in Source DC, Host #41
0.1: Broker1: VM #352 has been created in Source DC, Host #42
0.1: Broker1: VM #152 has been created in Source DC, Host #43
0.1: Broker1: VM #322 has been created in Source DC, Host #44
0.1: Broker1: VM #383 has been created in Source DC, Host #45
0.1: Broker1: VM #437 has been created in Source DC, Host #46
0.1: Broker1: VM #533 has been created in Source DC, Host #47
0.1: Broker1: VM #574 has been created in Source DC, Host #48
0.1: Broker1: VM #236 has been created in Source DC, Host #49
0.1: Broker1: VM #389 has been created in Source DC, Host #50
0.1: Broker1: VM #109 has been created in Source DC, Host #51
0.1: Broker1: VM #430 has been created in Source DC, Host #52
0.1: Broker1: VM #403 has been created in Source DC, Host #53
0.1: Broker1: VM #279 has been created in Source DC, Host #54
0.1: Broker1: VM #349 has been created in Source DC, Host #55
0.1: Broker1: VM #17 has been created in Source DC, Host #56
0.1: Broker1: VM #413 has been created in Source DC, Host #57
0.1: Broker1: VM #242 has been created in Source DC, Host #58
0.1: Broker1: VM #12 has been created in Source DC, Host #59
0.1: Broker1: VM #15 has been created in Source DC, Host #60
0.1: Broker1: VM #147 has been created in Source DC, Host #61
0.1: Broker1: VM #366 has been created in Source DC, Host #62
0.1: Broker1: VM #331 has been created in Source DC, Host #63
0.1: Broker1: VM #231 has been created in Source DC, Host #64
0.1: Broker1: VM #195 has been created in Source DC, Host #65
0.1: Broker1: VM #239 has been created in Source DC, Host #66
0.1: Broker1: VM #257 has been created in Source DC, Host #67
0.1: Broker1: VM #265 has been created in Source DC, Host #68
0.1: Broker1: VM #572 has been created in Source DC, Host #69
0.1: Broker1: VM #272 has been created in Source DC, Host #70
0.1: Broker1: VM #158 has been created in Source DC, Host #71
0.1: Broker1: VM #229 has been created in Source DC, Host #72
0.1: Broker1: VM #119 has been created in Source DC, Host #73
0.1: Broker1: VM #73 has been created in Source DC, Host #74
0.1: Broker1: VM #422 has been created in Source DC, Host #75
0.1: Broker1: VM #553 has been created in Source DC, Host #76
0.1: Broker1: VM #217 has been created in Source DC, Host #77
0.1: Broker1: VM #7 has been created in Source DC, Host #78
0.1: Broker1: VM #402 has been created in Source DC, Host #79
0.1: Broker1: VM #81 has been created in Source DC, Host #80
0.1: Broker1: VM #276 has been created in Source DC, Host #81
0.1: Broker1: VM #417 has been created in Source DC, Host #82
0.1: Broker1: VM #27 has been created in Source DC, Host #83
0.1: Broker1: VM #514 has been created in Source DC, Host #84
0.1: Broker1: VM #427 has been created in Source DC, Host #85
0.1: Broker1: VM #378 has been created in Source DC, Host #86
0.1: Broker1: VM #492 has been created in Source DC, Host #87
0.1: Broker1: VM #125 has been created in Source DC, Host #88
0.1: Broker1: VM #537 has been created in Source DC, Host #89
0.1: Broker1: VM #47 has been created in Source DC, Host #90
0.1: Broker1: VM #304 has been created in Source DC, Host #91
0.1: Broker1: VM #425 has been created in Source DC, Host #92
0.1: Broker1: VM #544 has been created in Source DC, Host #93
0.1: Broker1: VM #98 has been created in Source DC, Host #94
0.1: Broker1: VM #32 has been created in Source DC, Host #95
0.1: Broker1: VM #358 has been created in Source DC, Host #96
0.1: Broker1: VM #351 has been created in Source DC, Host #97
0.1: Broker1: VM #209 has been created in Source DC, Host #98
0.1: Broker1: VM #108 has been created in Source DC, Host #99
0.1: Broker1: VM #320 has been created in Source DC, Host #100
0.1: Broker1: VM #177 has been created in Source DC, Host #101
0.1: Broker1: VM #37 has been created in Source DC, Host #102
0.1: Broker1: VM #166 has been created in Source DC, Host #103
0.1: Broker1: VM #283 has been created in Source DC, Host #104
0.1: Broker1: VM #415 has been created in Source DC, Host #105
0.1: Broker1: VM #64 has been created in Source DC, Host #106
0.1: Broker1: VM #26 has been created in Source DC, Host #107
