Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.1: Broker1: VM #448 has been created in Source DC, Host #0
0.1: Broker1: VM #393 has been created in Source DC, Host #1
0.1: Broker1: VM #258 has been created in Source DC, Host #2
0.1: Broker1: VM #158 has been created in Source DC, Host #3
0.1: Broker1: VM #36 has been created in Source DC, Host #4
0.1: Broker1: VM #243 has been created in Source DC, Host #5
0.1: Broker1: VM #537 has been created in Source DC, Host #6
0.1: Broker1: VM #15 has been created in Source DC, Host #7
0.1: Broker1: VM #580 has been created in Source DC, Host #8
0.1: Broker1: VM #19 has been created in Source DC, Host #9
0.1: Broker1: VM #441 has been created in Source DC, Host #10
0.1: Broker1: VM #260 has been created in Source DC, Host #11
0.1: Broker1: VM #78 has been created in Source DC, Host #12
0.1: Broker1: VM #9 has been created in Source DC, Host #13
0.1: Broker1: VM #268 has been created in Source DC, Host #14
0.1: Broker1: VM #594 has been created in Source DC, Host #15
0.1: Broker1: VM #189 has been created in Source DC, Host #16
0.1: Broker1: VM #511 has been created in Source DC, Host #17
0.1: Broker1: VM #4 has been created in Source DC, Host #18
0.1: Broker1: VM #52 has been created in Source DC, Host #19
0.1: Broker1: VM #465 has been created in Source DC, Host #20
0.1: Broker1: VM #234 has been created in Source DC, Host #21
0.1: Broker1: VM #221 has been created in Source DC, Host #22
0.1: Broker1: VM #499 has been created in Source DC, Host #23
0.1: Broker1: VM #299 has been created in Source DC, Host #24
0.1: Broker1: VM #288 has been created in Source DC, Host #25
0.1: Broker1: VM #464 has been created in Source DC, Host #26
0.1: Broker1: VM #344 has been created in Source DC, Host #27
0.1: Broker1: VM #410 has been created in Source DC, Host #28
0.1: Broker1: VM #87 has been created in Source DC, Host #29
0.1: Broker1: VM #13 has been created in Source DC, Host #30
0.1: Broker1: VM #423 has been created in Source DC, Host #31
0.1: Broker1: VM #567 has been created in Source DC, Host #32
0.1: Broker1: VM #23 has been created in Source DC, Host #33
0.1: Broker1: VM #352 has been created in Source DC, Host #34
0.1: Broker1: VM #235 has been created in Source DC, Host #35
0.1: Broker1: VM #378 has been created in Source DC, Host #36
0.1: Broker1: VM #238 has been created in Source DC, Host #37
0.1: Broker1: VM #405 has been created in Source DC, Host #38
0.1: Broker1: VM #528 has been created in Source DC, Host #39
0.1: Broker1: VM #526 has been created in Source DC, Host #40
0.1: Broker1: VM #194 has been created in Source DC, Host #41
0.1: Broker1: VM #317 has been created in Source DC, Host #42
0.1: Broker1: VM #252 has been created in Source DC, Host #43
0.1: Broker1: VM #148 has been created in Source DC, Host #44
0.1: Broker1: VM #348 has been created in Source DC, Host #45
0.1: Broker1: VM #339 has been created in Source DC, Host #46
0.1: Broker1: VM #406 has been created in Source DC, Host #47
0.1: Broker1: VM #377 has been created in Source DC, Host #48
0.1: Broker1: VM #374 has been created in Source DC, Host #49
0.1: Broker1: VM #517 has been created in Source DC, Host #50
0.1: Broker1: VM #421 has been created in Source DC, Host #51
0.1: Broker1: VM #223 has been created in Source DC, Host #52
0.1: Broker1: VM #289 has been created in Source DC, Host #53
0.1: Broker1: VM #363 has been created in Source DC, Host #54
0.1: Broker1: VM #1 has been created in Source DC, Host #55
0.1: Broker1: VM #121 has been created in Source DC, Host #56
0.1: Broker1: VM #574 has been created in Source DC, Host #57
0.1: Broker1: VM #67 has been created in Source DC, Host #58
0.1: Broker1: VM #308 has been created in Source DC, Host #59
0.1: Broker1: VM #542 has been created in Source DC, Host #60
0.1: Broker1: VM #291 has been created in Source DC, Host #61
0.1: Broker1: VM #213 has been created in Source DC, Host #62
0.1: Broker1: VM #27 has been created in Source DC, Host #63
0.1: Broker1: VM #539 has been created in Source DC, Host #64
0.1: Broker1: VM #501 has been created in Source DC, Host #65
0.1: Broker1: VM #241 has been created in Source DC, Host #66
0.1: Broker1: VM #553 has been created in Source DC, Host #67
0.1: Broker1: VM #250 has been created in Source DC, Host #68
0.1: Broker1: VM #139 has been created in Source DC, Host #69
0.1: Broker1: VM #582 has been created in Source DC, Host #70
0.1: Broker1: VM #386 has been created in Source DC, Host #71
0.1: Broker1: VM #2 has been created in Source DC, Host #72
0.1: Broker1: VM #85 has been created in Source DC, Host #73
0.1: Broker1: VM #165 has been created in Source DC, Host #74
0.1: Broker1: VM #513 has been created in Source DC, Host #75
0.1: Broker1: VM #113 has been created in Source DC, Host #76
0.1: Broker1: VM #46 has been created in Source DC, Host #77
0.1: Broker1: VM #122 has been created in Source DC, Host #78
0.1: Broker1: VM #419 has been created in Source DC, Host #79
0.1: Broker1: VM #468 has been created in Source DC, Host #80
0.1: Broker1: VM #112 has been created in Source DC, Host #81
0.1: Broker1: VM #248 has been created in Source DC, Host #82
0.1: Broker1: VM #389 has been created in Source DC, Host #83
0.1: Broker1: VM #100 has been created in Source DC, Host #84
0.1: Broker1: VM #365 has been created in Source DC, Host #85
0.1: Broker1: VM #578 has been created in Source DC, Host #86
0.1: Broker1: VM #292 has been created in Source DC, Host #87
0.1: Broker1: VM #592 has been created in Source DC, Host #88
0.1: Broker1: VM #137 has been created in Source DC, Host #89
0.1: Broker1: VM #413 has been created in Source DC, Host #90
0.1: Broker1: VM #373 has been created in Source DC, Host #91
0.1: Broker1: VM #314 has been created in Source DC, Host #92
0.1: Broker1: VM #42 has been created in Source DC, Host #93
0.1: Broker1: VM #157 has been created in Source DC, Host #94
0.1: Broker1: VM #596 has been created in Source DC, Host #95
0.1: Broker1: VM #367 has been created in Source DC, Host #96
0.1: Broker1: VM #433 has been created in Source DC, Host #97
0.1: Broker1: VM #426 has been created in Source DC, Host #98
0.1: Broker1: VM #458 has been created in Source DC, Host #99
0.1: Broker1: VM #196 has been created in Source DC, Host #100
0.1: Broker1: VM #257 has been created in Source DC, Host #101
