Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.1: Broker1: VM #33 has been created in Source DC, Host #0
0.1: Broker1: VM #129 has been created in Source DC, Host #1
0.1: Broker1: VM #113 has been created in Source DC, Host #2
0.1: Broker1: VM #31 has been created in Source DC, Host #3
0.1: Broker1: VM #416 has been created in Source DC, Host #4
0.1: Broker1: VM #177 has been created in Source DC, Host #5
0.1: Broker1: VM #246 has been created in Source DC, Host #6
0.1: Broker1: VM #512 has been created in Source DC, Host #7
0.1: Broker1: VM #534 has been created in Source DC, Host #8
0.1: Broker1: VM #100 has been created in Source DC, Host #9
0.1: Broker1: VM #182 has been created in Source DC, Host #10
0.1: Broker1: VM #268 has been created in Source DC, Host #11
0.1: Broker1: VM #87 has been created in Source DC, Host #12
0.1: Broker1: VM #390 has been created in Source DC, Host #13
0.1: Broker1: VM #260 has been created in Source DC, Host #14
0.1: Broker1: VM #36 has been created in Source DC, Host #15
0.1: Broker1: VM #151 has been created in Source DC, Host #16
0.1: Broker1: VM #57 has been created in Source DC, Host #17
0.1: Broker1: VM #398 has been created in Source DC, Host #18
0.1: Broker1: VM #4 has been created in Source DC, Host #19
0.1: Broker1: VM #218 has been created in Source DC, Host #20
0.1: Broker1: VM #273 has been created in Source DC, Host #21
0.1: Broker1: VM #504 has been created in Source DC, Host #22
0.1: Broker1: VM #23 has been created in Source DC, Host #23
0.1: Broker1: VM #468 has been created in Source DC, Host #24
0.1: Broker1: VM #343 has been created in Source DC, Host #25
0.1: Broker1: VM #216 has been created in Source DC, Host #26
0.1: Broker1: VM #212 has been created in Source DC, Host #27
0.1: Broker1: VM #546 has been created in Source DC, Host #28
0.1: Broker1: VM #595 has been created in Source DC, Host #29
0.1: Broker1: VM #341 has been created in Source DC, Host #30
0.1: Broker1: VM #314 has been created in Source DC, Host #31
0.1: Broker1: VM #592 has been created in Source DC, Host #32
0.1: Broker1: VM #90 has been created in Source DC, Host #33
0.1: Broker1: VM #69 has been created in Source DC, Host #34
0.1: Broker1: VM #28 has been created in Source DC, Host #35
0.1: Broker1: VM #207 has been created in Source DC, Host #36
0.1: Broker1: VM #145 has been created in Source DC, Host #37
0.1: Broker1: VM #340 has been created in Source DC, Host #38
0.1: Broker1: VM #35 has been created in Source DC, Host #39
0.1: Broker1: VM #552 has been created in Source DC, Host #40
0.1: Broker1: VM #352 has been created in Source DC, Host #41
0.1: Broker1: VM #252 has been created in Source DC, Host #42
0.1: Broker1: VM #241 has been created in Source DC, Host #43
0.1: Broker1: VM #188 has been created in Source DC, Host #44
0.1: Broker1: VM #350 has been created in Source DC, Host #45
0.1: Broker1: VM #327 has been created in Source DC, Host #46
0.1: Broker1: VM #26 has been created in Source DC, Host #47
0.1: Broker1: VM #361 has been created in Source DC, Host #48
0.1: Broker1: VM #21 has been created in Source DC, Host #49
0.1: Broker1: VM #493 has been created in Source DC, Host #50
0.1: Broker1: VM #97 has been created in Source DC, Host #51
0.1: Broker1: VM #208 has been created in Source DC, Host #52
0.1: Broker1: VM #111 has been created in Source DC, Host #53
0.1: Broker1: VM #584 has been created in Source DC, Host #54
0.1: Broker1: VM #528 has been created in Source DC, Host #55
0.1: Broker1: VM #204 has been created in Source DC, Host #56
0.1: Broker1: VM #185 has been created in Source DC, Host #57
0.1: Broker1: VM #106 has been created in Source DC, Host #58
0.1: Broker1: VM #431 has been created in Source DC, Host #59
0.1: Broker1: VM #524 has been created in Source DC, Host #60
0.1: Broker1: VM #560 has been created in Source DC, Host #61
0.1: Broker1: VM #110 has been created in Source DC, Host #62
0.1: Broker1: VM #418 has been created in Source DC, Host #63
0.1: Broker1: VM #132 has been created in Source DC, Host #64
0.1: Broker1: VM #496 has been created in Source DC, Host #65
0.1: Broker1: VM #13 has been created in Source DC, Host #66
0.1: Broker1: VM #22 has been created in Source DC, Host #67
0.1: Broker1: VM #285 has been created in Source DC, Host #68
0.1: Broker1: VM #149 has been created in Source DC, Host #69
0.1: Broker1: VM #367 has been created in Source DC, Host #70
0.1: Broker1: VM #233 has been created in Source DC, Host #71
0.1: Broker1: VM #382 has been created in Source DC, Host #72
0.1: Broker1: VM #78 has been created in Source DC, Host #73
0.1: Broker1: VM #413 has been created in Source DC, Host #74
0.1: Broker1: VM #37 has been created in Source DC, Host #75
0.1: Broker1: VM #244 has been created in Source DC, Host #76
0.1: Broker1: VM #248 has been created in Source DC, Host #77
0.1: Broker1: VM #32 has been created in Source DC, Host #78
0.1: Broker1: VM #29 has been created in Source DC, Host #79
0.1: Broker1: VM #531 has been created in Source DC, Host #80
0.1: Broker1: VM #77 has been created in Source DC, Host #81
0.1: Broker1: VM #465 has been created in Source DC, Host #82
0.1: Broker1: VM #542 has been created in Source DC, Host #83
0.1: Broker1: VM #385 has been created in Source DC, Host #84
0.1: Broker1: VM #581 has been created in Source DC, Host #85
0.1: Broker1: VM #79 has been created in Source DC, Host #86
0.1: Broker1: VM #147 has been created in Source DC, Host #87
0.1: Broker1: VM #230 has been created in Source DC, Host #88
0.1: Broker1: VM #303 has been created in Source DC, Host #89
